gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
563,-6.2,-6.2,27,4,2,4,0
188,-13.3,-8.1,38,6,2,3,0
708,-12.6,-7.8,72,2,2,3,0
697,-7.5,-7.1,101,7,2,1,0
601,-10.7,-5.3,435,4,1,2,0
1460,-16.6,-1.8,115,5,3,1,0
351,-3.5,-3,46,5,3,1,0
634,-8.1,-8,32,8,4,1,0
200,-7.5,-8.9,19,8,3,1,0
251,-2.2,-3.8,22,5,1,1,0
2234,-13.7,-6,545,2,2,1,0
882,-12,-7.3,51,3,1,1,0
289,-11.9,-6.7,340,7,1,3,2
502,-2.8,-2.4,93,4,2,1,1
1730,-5.4,-7.8,106,5,3,1,0
634,-13,-14.5,72,3,2,1,0
205,-8.3,-6.5,226,6,1,4,0
323,-13.3,-8.5,122,7,2,1,0
1118,-10,-7.4,47,2,3,1,0
430,-6.3,-8.4,57,6,2,1,0
521,-11.2,-4.6,71,2,3,3,0
454,-7.8,-7.8,28,3,3,1,0
310,-5.6,-2.2,170,7,1,3,0
354,-10.6,-9.6,452,5,1,4,1
179,-5.4,-3.1,33,4,4,1,0
346,-4.4,-4.4,28,4,1,1,0
644,-18.6,-6.7,288,3,2,4,2
929,-7.1,-7.1,50,3,2,1,0
693,-5.6,-13.5,21,3,3,3,0
317,-14.1,-14.1,27,4,2,1,0
411,-7.1,-11.3,91,5,2,1,0
371,-9.1,.0.00,65,5,1,1,1
164,-13.3,-13.3,29,4,4,2,0
430,-10.4,-9.5,149,6,1,1,0
444,-10.5,-11.1,89,4,3,4,1
1121,-8.3,-4,176,4,4,1,0
620,-8.8,-16.5,136,6,1,1,0
1888,-11.9,-10,31,6,1,1,0
603,-12.2,-12.2,57,6,1,4,0
585,-11.1,-14,76,4,3,1,0
595,-7.9,-9.7,97,7,1,1,0
388,-9.9,-8.9,42,2,2,1,0
1035,-14.6,-8.5,152,5,3,1,0
594,-9.1,-5.9,111,5,2,1,0
226,-11.7,-9.3,61,6,2,3,0
144,-7.7,-6.6,69,9,1,1,0
701,-11.7,-11.6,73,4,2,3,0
307,-7,-10.3,406,4,2,1,1
272,-13.1,-14.3,21,3,4,1,0
376,-5.7,-6.1,70,5,3,3,0
453,-10.2,-8.6,45,5,1,1,0
